"word","count"
"important",19
"pjnet",19
"speech",19
"dropped",19
"😂",19
"💙",19
"unify",19
"pushing",19
"loses",19
"seen",18
"comes",18
"moving",18
"instead",18
"perfect",18
"QUESTION",18
"question",18
"Politico",18
"HIllaryClintonsupporters",18
"Most",18
"leave",18
"children",18
"Liberals",18
"child",18
"Nysteveo2AOLcom",18
"HillaryQuitRace",18
"sh4joy",18
"hasn",18
"presidential",18
"Jwwffv34Qy",18
"fans",18
"DonnaDiva",18
"copy",18
"Code",18
"Cali",18
"STRONG",18
"Casofdism",18
"month",18
"inners",18
"corporate",18
"toward",18
"handle",18
"PRIME69",18
"Weaver",18
"unlike",18
"BerniesBadEnd",18
"times",18
"warandpeace",18
"independents",18
"mankerlaw",18
"facts",18
"staatz",18
"NYC",18
"crooked",18
"KaraCalavera",18
"1st",18
"revolution",18
"Political",18
"Forced",18
"Compete",18
"CesarAFuentes",18
"democratic",18
"JusticeReformNow",18
"HeidiPrzybyla",18
"thepoliticalcat",18
"becomes",18
"Boston4Bernie",18
"republicans",18
"steal",18
"asking",18
"Loca2733Mc",18
"word",18
"chappell",17
"funding",17
"CBSNews",17
"nudging",17
"tahino1",17
"damage",17
"aside",17
"name",17
"Benghazi",17
"legal",17
"GiGicmka",17
"LOST",17
"Alicia3679",17
"PaulaPaulacamp",17
"politicians",17
"EmineDilek1113",17
"Iraq",17
"skorpyos",17
"HELL",17
"From",17
"NickyP2016",17
"each",17
"cares",17
"nikroybal",17
"whining",17
"NeverTrumpOrHillary",17
"DropOut…",17
"Explains",17
"ANYMORE",17
"deserve",17
"CapehartJ",17
"advising",17
"trash",17
"About",17
"Colorado",17
"approach",17
"Dictate",17
"NeverClinton",17
"DemocracyAwakens",17
"favor",17
"Terms",17
"mario",17
"single",17
"HouseDemocrats",17
"“Never”",17
"VirginiaInCal",17
"RIGHT",17
"Millions",17
"yrs",17
"few",17
"Polls",17
"ago",17
"keeps",17
"TImeForUnity…",17
"FascistMedia",17
"nofeeslender",17
"HillaryCli…",17
"political",17
"uSx95RejSy",17
"windowtothesoul",17
"Another",17
"Senate",17
"pWDn…",17
"stoop",17
"paying",17
"wall",16
"Wait",16
"stillsanders",16
"Very",16
"split",16
"told",16
"till",16
"TALK",16
"possible",16
"ft14051",16
"caprimary",16
"save",16
"ABCPolitics",16
"donations",16
"pick",16
"pays",16
"ONLY",16
"ones",16
"once",16
"KennysEyes",16
"accept",16
"SandersforNC",16
"MORE",16
"SOLUTIONS",16
"rqGqGvmWfz",16
"Lose",16
"line",16
"z5GG9hV…",16
"quotes",16
"FuckTheDNC",16
"seeks",16
"Jobs",16
"consultants",16
"hour",16
"Election",16
"option",16
"fund",16
"full",16
"a…",16
"landslide",16
"TrusTED",16
"cant",16
"now→",16
"bought",16
"SenateDems",16
"expect",16
"RBReich",16
"5njUFTdFtr",16
"These",16
"means",16
"Vaughn99",16
"7MMB6hCCmy",16
"reservation",16
"press",16
"46Fh0OvSC7",16
"SuperPAC",16
"CorruptHillary",16
"Carbon",16
"Ricky",16
"contested",16
"Wow",16
"Sen",16
"Neo",16
"men",16
"End",16
"dem",16
"com",16
"ass",16
"cU0LAV6jAC",16
"Lawrence",16
"bitch",16
"majority",16
"Would",16
"Iam4light1Karen",16
"plans",16
"choose",16
"Hillaryclinton",16
"Really",16
"gently",16
"CJCboi",16
"almost",16
"longer",16
"UNITE",16
"Protestors",16
"Still",16
"NJ4Sanders2016",16
"ForThePeople",16
"LeilaWalsh8",16
"Payer",16
"ElectionFraud",16
"EMPTY",16
"probably",16
"wait",15
"BillClinton",15
"positions",15
"Then",15
"disappointed",15
"jorgeramosnews",15
"quote",15
"Better",15
"m…",15
"ThisisntEasy",15
"started",15
"Nazi",15
"MUST",15
"shame",15
"Scheme",15
"Make",15
"LOVE",15
"loss",15
"Like",15
"Misogynist",15
"Left",15
"alitnobani",15
"Check",15
"hold",15
"TheFixIsIn",15
"C…",15
"FREE",15
"Slavery",15
"figure",15
"CenteredPols",15
"AndrewCicchetti",15
"helps",15
"hotmomforbernie",15
"switcher",15
"“You",15
"anywhere",15
"continue",15
"unless",15
"RyanfjDavison",15
"S5Steve",15
"SANDERS",15
"Neither",15
"JoeConason",15
"questions",15
"major",15
"HillaryForPrison2016",15
"theyre",15
"non",15
"Mexico",15
"NEW",15
"FYI",15
"fun",15
"CBS",15
"Big",15
"3rd",15
"NJPrimary",15
"Women",15
"Great",15
"ready",15
"massdems",15
"myrahenry24",15
"DnfzLQeoFF",15
"Liberal",15
"atrocity",15
"causticbob",15
"Norwegian",15
"Sanders2016",15
"DOUBTMYPROGRESS",15
"stuff",15
"STILL",15
"payer",15
"including",15
"inprimary",15
"protest",15
"scream",14
"WANT",14
"Wake",14
"Watch",14
"Acknowledge",14
"Running",14
"Buster",14
"p…",14
"Hilla…",14
"unemploy",14
"attention",14
"Question",14
"Since",14
"Politics",14
"note",14
"NAME",14
"toda…",14
"Look",14
"favoring",14
"large",14
"Give",14
"Geez",14
"anytime",14
"CaptainSRogers",14
"Flag",14
"funny",14
"fall",14
"realDona…",14
"CRIMINAL",14
"bill",14
"hired",14
"Bane",14
"future",14
"cp2austin",14
"folks",14
"troll",14
"Money",14
"strategy",14
"herself",14
"djred678",14
"Superdelegates",14
"dictate",14
"differences",14
"standard",14
"Air’s",14
"March",14
"AdamsFlaFan",14
"Democracy",14
"Facebook",14
"BarbraStreisand",14
"Traitors",14
"WHO",14
"PAC",14
"SandersStill",14
"Joe",14
"GET",14
"fix",14
"fan",14
"ARE",14
"worth",14
"record",14
"LeChatNoire4",14
"forget",14
"family",14
"responsible",14
"Rally",14
"supers",14
"disagree",14
"immigration",14
"Someone",14
"neydamartinez",14
"yeah",14
"beating",14
"desperate",14
"Convenience",14
"loser",14
"s…",13
"water",13
"watch",13
"EstoyConHillary",13
"crazy",13
"RainMirron",13
"shld",13
"CrypticGator",13
"roze",13
"DemDebate",13
"Paul",13
"berniesanders2016",13
"PuestoLoco",13
"HillaryCl…",13
"xdelmar59",13
"none",13
"Need",13
"guarantee",13
"usually",13
"SHAME",13
"Bernieforny2016",13
"i…",13
"luck",13
"LOSE",13
"list",13
"little",13
"kind",13
"keny",13
"hurd",13
"tweets",13
"order",13
"held",13
"GIVE",13
"behavior",13
"fear",13
"Dump",13
"Cause",13
"trusted",13
"Cuba",13
"cost",13
"BULLSHIT",13
"Intention",13
"BOTH",13
"berd",13
"Folks",13
"rallies",13
"tried",13
"treat",13
"tonight",13
"8VU1wSZg7z",13
"MakeAmericaGreatAgain",13
"Berners",13
"ErikaAndiola",13
"hypocrisy",13
"parties",13
"laundering",13
"Their",13
"grisly",13
"PWM62",13
"CincoDeMayo",13
"dirty",13
"false",13
"writing",13
"conservatives",13
"HarveyAckerman",13
"",13
"reject",13
"Candidates",13
"LoveNotHate8",13
"Bernie4PresUSA",13
"girlsreallyrule",13
"responds",13
"ImagineAnna",13
"GMA",13
"gay",13
"ANY",13
"couldn",13
"RoughAcres",13
"HillaryClin…",13
"SimonMoyaSmith",13
"General",13
"ripping",13
"message",13
"agog734",13
"friends",13
"server",13
"common",13
"MaryPatriotNews",13
"imwither",13
"equal",13
"CitizensFedUp",13
"BernieSanders…",13
"Looks",13
"mdprimary",12
"refused",12
"WALLS",12
"economy",12
"Possible",12
"STOP",12
"Some",12
"maxwelltani",12
"foxnation",12
"Rich",12
"DemocracySpring",12
"REPUBLICAN",12
"Actually",12
"puts",12
"netted",12
"mistake",12
"human",12
"mate",12
"live",12
"Solution",12
"Between",12
"southerntalker",12
"nomination…",12
"KNOW",12
"StefSimanowitz",12
"joke",12
"Join",12
"ninaturner",12
"despite",12
"UruLT1afY3",12
"History",12
"huge",12
"energy",12
"Hardball",12
"federal",12
"grip",12
"moment",12
"gone",12
"along",12
"game",12
"Merlin333",12
"Behind",12
"Retweeted",12
"aworkingpoor",12
"DOMA",12
"Deal",12
"Electoral",12
"calls",12
"DumpChumpTrump",12
"safety",12
"Integrity",12
"ElizabethWarren",12
"election2016",12
"suspend",12
"BernersUnited",12
"senators",12
"HAGOODMANAUTHOR",12
"needed",12
"truly",12
"admits",12
"JimmyBear2",12
"Rallies",12
"attacked",12
"MeLovesMLE",12
"brought",12
"Latinos4Bernie",12
"bonjang23456",12
"NizamovRus",12
"EVERYONE",12
"FIRST",12
"hands",12
"business",12
"result",12
"paprimary",12
"FiveThirtyEight",12
"NXXFBo6ZT6",12
"continued",12
"is…",12
"feels",12
"clo329",12
"tired",12
"HEINSLERJAN",12
"thank",12
"vision",12
"mention",12
"promises",12
"young",12
"himself",12
"Article",12
"answer",12
"●",12
"Parker9",12
"DONATES",12
"deals",12
"Yet",12
"WON",12
"SHE",12
"sad",12
"Run",12
"Non",12
"potus",12
"Hes",12
"gop",12
"course",12
"etc",12
"DON",12
"cuz",12
"bit",12
"Any",12
"rosevine3",12
"World",12
"place",12
"discuss",12
"personal",12
"losers",12
"platoon184",12
"H7HCOsLwk1",12
"danielsloebey",12
"ProgPoli",12
"nyprimary",12
"BernieMadeMeYoung",12
"minutes",12
"story",12
"stole",12
"provide",12
"ctprimary",12
"7j…",12
"wing",12
"Reality",12
"Clinton2016",11
"elect",11
"C4Constitution",11
"spoke",11
"Chanel",11
"Racist",11
"Tied",11
"site",11
"WeArentStupid",11
"sell",11
"ChanelCuba",11
"bbambz",11
"pass",11
"Once",11
"QsCO9BXqKb",11
"taddevine",11
