"word","count"
"took",225
"THIS",225
"plan",225
"tweeted",225
"election2016",225
"watching",225
"seen",223
"Please",223
"busting",223
"las",223
"lies",222
"little",222
"anything",222
"doing",222
"indianaPrimary",222
"making",221
"true",220
"life",220
"Dem",220
"EK1m2nuT…",220
"send",219
"Rubberblon",219
"Open",218
"hell",216
"blacks",216
"BuzzFeedNews",215
"change",215
"mean",215
"without",215
"its",215
"Stop",214
"LOVE",214
"Like",213
"RealDonaldTrump",213
"rossr122",213
"middle",213
"Rally",213
"someone",213
"remember",213
"o…",212
"between",212
"Presidential",212
"always",212
"AmericaFirst",212
"People",212
"GeneralElection",212
"politico",211
"Good",211
"days",211
"★",211
"PolitiFact",211
"First",210
"ask",210
"Next",209
"left",209
"happens",209
"call",209
"hands",209
"BreitbartNews",209
"taste",209
"sending",209
"stupid",208
"JordanChariton",208
"Shutdown",208
"reason",208
"Nothing",208
"useless",207
"His",207
"🚂",207
"sacca",206
"went",206
"check",205
"aren",205
"Really",205
"Iowa",204
"Latinos",204
"goggles",203
"lose",203
"folks",203
"message",203
"ShennaFoxMusic",203
"Word",203
"rest",202
"beer",202
"ran",202
"during",202
"choice",202
"wrong",201
"KKK",201
"story",201
"WILL",201
"Coal",200
"piece",199
"open",198
"CruzCrew",198
"Fuck",198
"Any",198
"STILL",198
"high",197
"EricTrump",197
"Law",197
"000",197
"Muslim",197
"AlwaysTrump",197
"endorsement",197
"Support",196
"China",196
"fight",196
"talking",196
"idea",195
"MLK",195
"makeamericagreatagain",194
"Wow",194
"speaks",194
"quite",193
"less",193
"supporting",192
"IremTuncel",192
"NEVER",190
"Indianapolis",190
"Ever",190
"squad",189
"pulverize",189
"CrookedHillaryClinton",189
"forget",189
"RETWEET",188
"XJHNmPMq6G",188
"giving",188
"promise",187
"noon",187
"blackface",187
"far",187
"checkers",187
"Never",186
"road",186
"past",186
"endorsers",186
"old",186
"chance",185
"Jail",185
"find",185
"xTsLCs1Wob",183
"point",183
"protest",183
"7qFfzjk5Og",182
"kind",182
"review",182
"oSq8vBrKpq",182
"speak",181
"home",181
"StevenTDennis",181
"George",181
"Pf40ag0cXe",180
"Train",180
"everyone",180
"WomenForTrump",180
"DRJAMESCABOT",179
"note",179
"Did",179
"billclinton",178
"johnkasich",178
"name",178
"long",178
"DONALD",178
"free",178
"ASwoyer",177
"jaketapper",177
"another",177
"once",176
"army",176
"RealBenCarson",176
"Joe",176
"exact",176
"WomanCard",175
"Court",174
"JoeNBC",174
"harder",174
"lie",174
"Forget",174
"Super",174
"thehallicjshow",174
"numbers",173
"ORPrimary",173
"Conservative",172
"elected",172
"JesseLehrich",171
"Tune",170
"Trail",170
"celebrate",170
"graphic",169
"GayHillaryClinton",169
"tackle",169
"Aviation",169
"told",168
"asked",167
"line",167
"Iraq",167
"candidates",167
"btw",167
"possible",166
"such",166
"JimmyTatro",166
"como",166
"Media",166
"yes",166
"Has",166
"recap",166
"QFHjnEqJKX",166
"UniteBlue",165
"growing",165
"bring",165
"maybe",165
"red",165
"cannon",165
"P8q…",164
"evil",164
"Carly",164
"Hillary2016",164
"Rights",164
"LodiSilverado",164
"team",163
"fake",163
"coal",163
"together",163
"GET",163
"rampant",163
"fueling",163
"CecileRichards",162
"😂😂",162
"mLNDQwdOgX",162
"watch",161
"sell",161
"uoNEFYuobp",161
"Gone",161
"inserts",161
"9uTJILN…",161
"Black",161
"course",161
"immigrant4trump",161
"KXLYlQy5Bo",161
"gives",161
"West",161
"minorities",160
"dangerous",160
"Anti",160
"OUT",160
"liberal",160
"drop",159
"choices",159
"Rob",159
"Off",159
"mia",159
"FOX",159
"Liberal",159
"picture",158
"guess",158
"tomorrow",158
"ProgPoli",158
"Fiorina",157
"UAxYqsS1…",157
"ghost",157
"save",156
"loud",156
"Even",156
"low",156
"planet",155
"sombrero",155
"BKQOOMU6Lz",155
"phony",155
"protestors",155
"year",155
"Skies",154
"AlyLovesMovies",154
"r…",153
"song",153
"fucking",153
"Police",153
"deliver",153
"CarlyFiorina",153
"important",153
"protect",153
"ironic",152
"Live",152
"Hate",152
"funny",152
"Best",152
"everything",152
"stands",152
"Win",152
"Them",151
"Virginia",151
"mayo",151
"least",151
"OldBlackHack",151
"principles",151
"enough",150
"OnlyTrump🚂💨",150
"WashTimes",150
"away",150
"CNNSitRoom",150
"illegals",150
"CNNPolitics",150
"families",150
"Fox",150
"cnn",150
"children",149
"terrible",149
"RealAlexJones",149
"calls",149
"SenWarren",149
"RavenHUWolf",149
"means",149
"Time",148
"Candidate",148
"tells",148
"–",148
"Right",148
"YES",148
"Supreme",147
"positions",147
"StopTrump",147
"calling",147
"end",147
"crazy",146
"PresidentTrump",146
"Above",146
"Rubio",146
"pandering",146
"taking",146
"becoming",146
"helping",146
"who’s",146
"Supporters",145
"Clintons",145
"Graham",145
"self",144
"part",144
"Because",144
"Dobbs",144
"week",144
"interview",143
"NDPrimary",143
"started",143
"Does",143
"crooked",143
"der",143
"dVZEW0ZEhx",143
"different",142
"KR43yN255o",142
"husband",142
"Latino",142
"Our",142
"Her",142
"Yeah",142
"CaliforniaPrimary",141
"Politics",141
"tweets",141
"PeterAlexander",141
"Arabia",141
"top",141
"CAN",141
"ARE",141
"mustache",141
"TheBriefing2016",139
"issues",139
"Say",139
"winning",139
"S5zuo9K8in",138
"office",138
"lets",138
"hillary",138
"TrumpCard",138
"extremists—and",138
"Rasmussen",138
"MorningJoe",138
"BREAKING",138
"idiot",138
"TheWall",138
"ry1uGp3F…",137
"Beweis",137
"kein",137
"Bowl",137
"akckCN8N7G",137
"seriously",137
"DavidRomeiPHD",137
"rassistischer",137
"Primary",137
"primary",137
"National",137
"Das",137
"Vollidiot",137
"iowahawkblog",137
"washingtonpost",137
"Real",136
"reading",136
"Conference",136
"Have",136
"bfraser747",136
"peterdaou",136
"janboehm",136
"functionally",136
"amrightnow",135
"comes",135
"others",135
"full",135
"NebraskaPrimary",135
"FNCHD",135
"卐",135
"Reiner",135
"LoveTrumpsHate",135
"Morning",135
"beating",135
"paid",134
"See",134
"Old",134
"🤔",134
"pick",133
"Into",133
"delicious",133
"MSM",133
"del",133
"borders",132
"navy",132
"Look",132
"Hotel",132
"Kasich",132
"MicroAggression",132
"About",132
"morningmika",132
"through",132
"WLsy…",132
"UNIFY",132
"corrupt",132
"live",131
"DH9X0Cx8y9",131
"qualified",131
"gender",131
"leading",130
"soon",130
"REAL",130
"CAGOP",130
"DealMeIn",130
"Man",130
"stuff",130
"Asians",129
"moment",129
"police",129
"points",129
"remarks",129
"amazing",129
"declares",129
"HillaryClinton👿",129
"manufactured",128
"Greatest",128
"pocket",128
"NatashaABC7",128
"DONALDTRUMP",128
"Always",128
"picking",128
"crush",127
"racial",127
"AmyMek",127
"leave",127
"RealScottErnst",127
"rapists",127
"Knight",127
"Syria",127
"likes",126
"YOaZbi8KO7",126
"expected",126
"admits",126
"megynkelly",126
"GlobalMoms",126
"👉",126
"Donations",125
"Most",125
"cinco",125
"power",125
"35M",125
"uses",124
"allowed",124
"ONLY",124
"hardball",124
"prevent",124
"Bobby",124
"OhHillNo",124
"Letting",123
"turn",123
"Hook",123
"Where",123
"suffer",122
"Showdown",122
"ridiculous",122
"👏🏻",122
"Again",122
"built",122
"responsible",122
"Industry",122
"Soros",121
"risk",121
"Rips",121
"question",121
"DropOutBernie",121
"violence",121
"target",121
"speechboy71",121
"Ricky",121
"Years",121
"blocking",121
"Convention",120
"scared",120
"BillKristol",120
"happen",120
"statements",120
"former",120
"Genius",120
"close",119
"WhiteHouse",119
"GovGaryJohnson",119
"FAIL",119
"dont",119
"establishment",119
"BLACKS",119
"fortune",119
"wonder",119
"Vaughn99",119
"definitely",119
"difference",119
"cookie",119
"usmc",118
"THAT",118
"understand",118
"donald",118
"goes",118
"DanaBashCNN",118
"Aunt",118
"strategy",118
"Video",118
"HFA",118
"dad",118
"Endorsement",118
"pancakes",117
"TRUE",117
"months",117
"hispanic",117
"trade",117
"Report",117
"Woman4Trump",117
"talks",117
