"word","count"
"supports",267
"Independents",267
"SoCal4Trump",267
"deserve",266
"investigation",266
"drewwyatt",266
"rally",266
"WITCH",266
"WhiteHouse",265
"latest",263
"failed",263
"Where",263
"East",262
"rules",262
"difference",262
"security",261
"Really",261
"GhQSsnQVdC",260
"thehill",260
"tweet",259
"amazing",259
"yourself",259
"coalminers",259
"Lies",258
"aides",258
"spread",258
"maybe",258
"raise",258
"beer",257
"honestly",257
"Secret",255
"past",255
"absolutely",255
"CNNSitRoom",255
"endorses",255
"evidence",254
"Muslims",254
"Stop",253
"RedNationRising",253
"energy",253
"virus",253
"NumbersUSA",252
"migrant",252
"matter",251
"liberal",251
"debate",250
"hours",250
"😏",250
"risk",249
"question",249
"PrimaryDay",249
"become",249
"0WGUIGQbnr",249
"agenda",249
"taking",248
"Years",248
"documents",247
"Time",246
"AINF",246
"continue",246
"peterdaou",246
"black",246
"former",246
"—Hillary",245
"o…",245
"Primary",245
"Middle",244
"girl",243
"AMERICA",243
"“We’re",243
"start",243
"delegates",242
"context",242
"Jail",242
"Iraq",242
"78xuV2gZc9",242
"progressive",242
"lead",241
"Investigation",241
"takes",241
"wolfblitzer",239
"DrOlmoVip",239
"gives",239
"Qualify",238
"changed",238
"flip",238
"equate",238
"Native",238
"Nothing",238
"donate",237
"Have",237
"times",237
"HillaryDropOut",237
"Millions",237
"NEWS",236
"idea",236
"National",236
"thanks",236
"UNIFY",236
"turn",235
"AGirl4Bernie",235
"exposing",235
"might",235
"pandering",235
"straight",235
"SpecialReport",235
"record",235
"plays",235
"2008",234
"Criminal",234
"proud",234
"guess",234
"Rights",233
"hacked",233
"Huckabee",233
"comes",232
"Criminals",232
"others",232
"Aviation",232
"presumptive",232
"understands",232
"Borders",231
"sorry",231
"Because",231
"CarlyFiorina",231
"Should",230
"worst",230
"hardball",229
"KirstenPowers",229
"talks",229
"term",228
"killing",228
"Again",227
"Yeah",227
"pull",226
"asked",226
"trump2016",226
"ABOUT",225
"shitHRCsays",225
"Protesters",225
"Judge",224
"broadcast",224
"peep",224
"Cities",224
"leads",224
"Unvetted",224
"camp",224
"corruption",224
"Refugees",224
"except",224
"😀",224
"protect",224
"Sanctuary",223
"crim…",223
"office",223
"Hear",223
"amnesty",223
"Latinos4Bernie",223
"unreal",223
"weeklystandard",223
"once",222
"cable",222
"Tntvote",222
"AkOQyiPJBW",221
"imagine",221
"hurt",221
"THAT",220
"RETWEET",220
"defeating",220
"LATISM16",220
"cannon",220
"waiting",220
"planet",219
"LouDobbs",219
"meant",219
"explain",219
"assume",219
"WICKED",218
"Arabia",218
"janeosanders",218
"let’s",217
"easy",217
"Jared",217
"KeepWinningHillary",217
"ArabsForBernie",217
"couldn",217
"announces",217
"fall",216
"BernieSanderss4",216
"ILLEGALS",216
"info",215
"high",215
"L4w8ASsIAQ",215
"Remember",215
"stylistkavin",214
"Most",214
"Hispanic",214
"haven",214
"rather",214
"sometimes",214
"yQ1F0sotxE",213
"soon",213
"heavenlyitalian",213
"dangerous",213
"DanScavino",213
"Inside",213
"strong",213
"offensive",213
"lady",212
"exactly",212
"Private",212
"calling",212
"during",212
"welfare",212
"experience",212
"BBhuttoZardari",211
"rape",211
"Perhaps",211
"fraud",211
"wanted",211
"brianefallon",210
"trumptrain",210
"NateSilver538",210
"Appalachia",209
"Says",209
"close",209
"hillary2016",209
"GeneralElection",209
"Like",208
"sacca",208
"KYPrimary",208
"Shutdown",208
"across",208
"ImWithHillary",207
"dead",207
"voter",207
"TheYoungTurks",207
"different",206
"HamidMirGEO",206
"Juliet777777",206
"ppppolls",206
"victims",206
"Democracy",205
"Libya",204
"kind",204
"opportunity",204
"looks",204
"wall",203
