"word","count"
"Danscavino",44
"attacked",44
"heard",44
"Woman",44
"qualifications",44
"PRECIOUS",44
"true",43
"Plus",43
"ONLY",43
"NAZI",43
"BernieOrBust",43
"Both",43
"folks",43
"NebraskaPrimary",43
"through",43
"trying",43
"ChatRevolve",43
"under",43
"Party",43
"work",43
"billclinton",42
"Riot",42
"STOPGOPe",42
"hundreds",42
"CruzCarly",42
"votes",42
"Card",42
"VIDEO",42
"first",42
"doing",42
"TheDemocrats",42
"block",42
"USATODAY",42
"forced",42
"b4kK75MFwV",42
"SWASTIKA",41
"seen",41
"Only",41
"Lyin",41
"hardball",41
"full",41
"EBAY",41
"system",41
"ITEMS",41
"DONALDTRUMP",41
"Twitter",41
"AmericaFirst",41
"Store",41
"nothing",41
"well",41
"SUPPORT",40
"thru",40
"lose",40
"lies",40
"Pedophile",40
"1000",40
"history",40
"guys",40
"goes",40
"gave",40
"2016Election",40
"FROM",40
"tweet",40
"agree",40
"turns",40
"bern…",40
"nomination",40
"candidates",40
"protests",40
"Crooked",40
"words",40
"Jeffrey",40
"contra",40
"Pence",40
"Your",40
"washingtonpost",40
"T8F5NThvaH",39
"Read",39
"FQpf1HUTUM",39
"violent",39
"shift",39
"KNOW",39
"Code",39
"giving",39
"illegals",39
"continues",39
"everything",39
"hillaryclint…",39
"Rapist",39
"STOPDCCartel",39
"MSNBC…",39
"uses",38
"close",38
"UniteBlue",38
"RedRising11",38
"CorrectRecord",38
"attack",38
"done",38
"kupajo322",38
"parking",38
"UaGuFjEAFA",38
"choose",38
"called",38
"years",38
"lying",38
"opportunity",38
"looks",38
"elect",37
"Never",37
"Hoosiers",37
"WhiteHouse",37
"cagopconvention",37
"Have",37
"Felt",37
"problem",37
"quiere",37
"unions4workers",37
"away",37
"rallies",37
"About",37
"bring",37
"millionaires",37
"illegal",37
"thinks",37
"guess",37
"Always",37
"Greta",37
"Speakng",37
"trillion",37
"People",37
"which",37
"gxhiiYWVN8",37
"SHNyDtRWmn",37
"another",37
"BREAKS",37
"fundraising",36
"such",36
"VoteTrump2016",36
"internet",36
"Presidency",36
"DaBearsk",36
"Arizona",36
"themselves",36
"Muslim",36
"wearing",36
"Former",36
"either",36
"😏",36
"York",36
"Wolf",36
"mudarse",35
"idiocy",35
"confronted",35
"making",35
"IUWktwYxho",35
"idea",35
"rhetoric",35
"friend",35
"búsquedas",35
"Pakistan",35
"MARVINBURKY",35
"dispara",35
"Cómo",35
"husband",35
"TrumpRally",35
"wnxTvAqnPZ",35
"movetocanada",35
"Canadá",35
"Thanks",35
"Francisco",35
"lost‼️👍",35
"elected",35
"week",35
"7GVc6ihQPc",34
"THEY",34
"slam",34
"Lonegan",34
"Hyatt",34
"partes",34
"ones",34
"Politica",34
"shame",34
"Little",34
"Voters",34
"Charles",34
"hook",34
"Good",34
"0t16xskJ1n",34
"MarkSalter55",34
"Cops",34
"iueuFgzGod",34
"aide",34
"banner",34
"cerrar",34
"Susteren",34
"attacks",34
"Donal",34
"article",34
"sinker",34
"Typical",34
"dawngpsalm63",34
"leader",34
"belongs",34
"equal",34
"LE3I…",34
"HGIwEKJJyi",34
"enter",34
"BalloonEise",33
"Late",33
"scene",33
"girl",33
"Muslims",33
"Beat",33
"believes",33
"primary",33
"SleazyDonald",33
"detener",33
"whole",33
"Matter",32
"shit",32
"higher",32
"activists",32
"POLL",32
"delegates",32
"live",32
"lead",32
"Koch",32
"Apple",32
"ejecutivos",32
"Altos",32
"find",32
"Even",32
"Anti",32
"NYDailyNews",32
"choice",32
"sckW6b4fzT",32
"MaryPatriotNews",32
"tecnología",32
"secreto",32
"something",32
"planean",32
"protecting",32
"Rafael",31
"scam",31
"Politics",31
"Shame",31
"otherwise",31
"jmGhRZLAuO",31
"Presidential",31
"Fuck",31
"fire",31
"Find",31
"came",31
"also",31
"groups",31
"position",31
"EricTrump",31
"BarbaraGarro",31
"Protests",31
"classy",31
"party",31
"“cherishes”",30
"WANTS",30
"different",30
"women—but",30
"Real",30
"comes",30
"actually",30
"Lives",30
"MZJ3XXNlqS",30
"mean",30
"long",30
"stances",30
"Cheated",30
"Election",30
"voted",30
"call",30
"Kennedy",30
"After",30
"keepin",30
"Israel",30
"route",30
"BreakingNews",30
"6SX5ECdcaj",30
"Daily",30
"every",30
"Wisconsin",30
"STOP",29
"likes",29
"part",29
"little",29
"Eagle",29
"From",29
"Filing",29
"duck",29
"CRUZ",29
"chained",29
"Pummeling",29
"presidency",29
"Border",29
"supporting",29
"speaking",29
"ballot",29
"leslie",29
"🌟🇺🇸🌟",29
"issue",29
"veggie64",29
"brutal",29
"crooked",29
"GREAT",29
"NeverCruz",29
"gonna",29
"narcissist",29
"Speech",29
"hBRMBHbtIj",29
"🤔",29
"Pockets",29
"Well",29
"Wall",28
"crazy",28
"small",28
"Marion",28
"turned",28
"anissira",28
"high",28
"HAVE",28
"FEDERAL",28
"behind",28
"each",28
"cagop",28
"Again",28
"msnbc",28
"Repubic",28
"SouthBend",28
"doctor",28
"complete",28
"wrong",28
"assassination",28
"AVBAnLnl8J",28
"worst",28
"ready",28
"reason",28
"official",28
"event",28
"RAPED",28
"meetthepress",28
"someone",28
"Uncle",28
"rollingitout",28
"entre",28
"Racist",27
"THAT",27
"talk",27
"sneaking",27
"Part",27
"since",27
"Donkey",27
"Know",27
"funny",27
"Feed",27
"thought",27
"cHq4vq…",27
"election2016",27
"buPEtZ541u",27
"Folks",27
"Snapchat",27
"BernieBros",27
"flags",27
"Illegals",27
"teambrewer",27
"National",27
"tG…",27
"MikePence",27
"NaderEffect",27
"building",27
"0PwM17KtSb",27
"themed",27
"David",27
"plane",27
"pittgriffin",27
"DonaldTrumpquotes",27
"ypoHFNpci9",27
